token,pos,syn_label,lemma,m_desc,m_type
aegis,n,S,no,CareVirtue,1
aegises,n,S,no,CareVirtue,1
affection,n,H,no,CareVirtue,1
affectionate,adj,S,no,CareVirtue,1
affectionateness,n,H,no,CareVirtue,1
affectionatenesses,n,H,no,CareVirtue,1
affections,n,H,no,CareVirtue,1
aid,n,S,no,CareVirtue,1
aid,v,H,yes,CareVirtue,1
aids,n,S,no,CareVirtue,1
amities,n,H,no,CareVirtue,1
amity,n,H,no,CareVirtue,1
appealing,adj,S,no,CareVirtue,1
assist,v,H,yes,CareVirtue,1
assure,v,S,yes,CareVirtue,1
asylum,n,H,no,CareVirtue,1
asylums,n,H,no,CareVirtue,1
ataraxis,n,S,no,CareVirtue,1
attention,n,S,no,CareVirtue,1
attentions,n,S,no,CareVirtue,1
auspice,n,S,no,CareVirtue,1
auspices,n,S,no,CareVirtue,1
benefit,n,O,no,CareVirtue,1
benefit,v,O,yes,CareVirtue,1
benefits,n,O,no,CareVirtue,1
benevolent,adj,S,no,CareVirtue,1
bodyguard,n,S,no,CareVirtue,1
bodyguards,n,S,no,CareVirtue,1
booster,n,H,no,CareVirtue,1
boosters,n,H,no,CareVirtue,1
braveries,n,H,no,CareVirtue,1
bravery,n,H,no,CareVirtue,1
care,n,O,no,CareVirtue,1
care,v,O,yes,CareVirtue,1
cares,n,O,no,CareVirtue,1
caring,n,O,no,CareVirtue,1
caring,adj,O,no,CareVirtue,1
carings,n,O,no,CareVirtue,1
caution,n,S,no,CareVirtue,1
cautions,n,S,no,CareVirtue,1
cautiously,adv,S,no,CareVirtue,1
champion,v,S,yes,CareVirtue,1
charitable,adj,S,no,CareVirtue,1
comforter,n,S,no,CareVirtue,1
comforters,n,S,no,CareVirtue,1
commiserate,v,S,yes,CareVirtue,1
compassion,n,O,no,CareVirtue,1
compassionate,v,O,yes,CareVirtue,1
compassionate,adj,O,no,CareVirtue,1
compassionately,adv,O,no,CareVirtue,1
compassionateness,n,S,no,CareVirtue,1
compassionatenesses,n,S,no,CareVirtue,1
compassions,n,O,no,CareVirtue,1
compatible,adj,S,no,CareVirtue,1
concern,n,S,no,CareVirtue,1
concerns,n,S,no,CareVirtue,1
conciliator,n,S,no,CareVirtue,1
conciliators,n,S,no,CareVirtue,1
concord,n,H,no,CareVirtue,1
concordance,n,H,no,CareVirtue,1
concordances,n,H,no,CareVirtue,1
concords,n,H,no,CareVirtue,1
condole,v,H,yes,CareVirtue,1
condole with,v,S,yes,CareVirtue,1
conserve,v,S,yes,CareVirtue,1
cordialities,n,S,no,CareVirtue,1
cordiality,n,S,no,CareVirtue,1
defence,n,O,no,CareVirtue,1
defence force,n,S,no,CareVirtue,1
defence forces,n,S,no,CareVirtue,1
defence mechanism,n,S,no,CareVirtue,1
defence mechanisms,n,S,no,CareVirtue,1
defence reaction,n,S,no,CareVirtue,1
defence reactions,n,S,no,CareVirtue,1
defences,n,O,no,CareVirtue,1
defend,v,H,yes,CareVirtue,1
defendable,adj,O,no,CareVirtue,1
defender,n,H,no,CareVirtue,1
defenders,n,H,no,CareVirtue,1
defending,adj,O,no,CareVirtue,1
defending team,n,S,no,CareVirtue,1
defending teams,n,S,no,CareVirtue,1
defense,n,S,no,CareVirtue,1
Defense Department,n,S,no,CareVirtue,1
Defense Departments,n,S,no,CareVirtue,1
defense force,n,S,no,CareVirtue,1
defense forces,n,S,no,CareVirtue,1
defense lawyer,n,S,no,CareVirtue,1
defense lawyers,n,S,no,CareVirtue,1
defense mechanism,n,S,no,CareVirtue,1
defense mechanisms,n,S,no,CareVirtue,1
defense reaction,n,S,no,CareVirtue,1
defense reactions,n,S,no,CareVirtue,1
defense team,n,S,no,CareVirtue,1
defense teams,n,S,no,CareVirtue,1
defenses,n,S,no,CareVirtue,1
defensibilities,n,O,no,CareVirtue,1
defensibility,n,O,no,CareVirtue,1
defensible,adj,S,no,CareVirtue,1
defensive,n,O,no,CareVirtue,1
defensive attitude,n,S,no,CareVirtue,1
defensive attitudes,n,S,no,CareVirtue,1
defensive measure,n,S,no,CareVirtue,1
defensive measures,n,S,no,CareVirtue,1
defensive structure,n,S,no,CareVirtue,1
defensive structures,n,S,no,CareVirtue,1
defensively,adv,O,no,CareVirtue,1
defensiveness,n,O,no,CareVirtue,1
defensivenesses,n,O,no,CareVirtue,1
defensives,n,O,no,CareVirtue,1
Department of Defense,n,S,no,CareVirtue,1
Departments of Defense,n,S,no,CareVirtue,1
dependable,adj,S,no,CareVirtue,1
disarmer,n,H,no,CareVirtue,1
disarmers,n,H,no,CareVirtue,1
do good,v,S,yes,CareVirtue,1
empathetic,adj,O,no,CareVirtue,1
empathetically,adv,O,no,CareVirtue,1
empathic,adj,S,no,CareVirtue,1
empathies,n,O,no,CareVirtue,1
empathise,v,O,yes,CareVirtue,1
empathize,v,S,yes,CareVirtue,1
empathy,n,O,no,CareVirtue,1
endorse,v,H,yes,CareVirtue,1
endurable,adj,S,no,CareVirtue,1
enjoy,v,A,yes,CareVirtue,1
ensure,v,S,yes,CareVirtue,1
escort,v,H,yes,CareVirtue,1
fearlessness,n,H,no,CareVirtue,1
fearlessnesses,n,H,no,CareVirtue,1
feel for,v,S,yes,CareVirtue,1
fellow feeling,n,S,no,CareVirtue,1
fellow feelings,n,S,no,CareVirtue,1
fend for,v,S,yes,CareVirtue,1
firmlier,adv,S,no,CareVirtue,1
firmliest,adv,S,no,CareVirtue,1
firmly,adv,S,no,CareVirtue,1
fix,n,H,no,CareVirtue,1
fix,v,S,yes,CareVirtue,1
fixes,n,H,no,CareVirtue,1
fixing,n,H,no,CareVirtue,1
fixings,n,H,no,CareVirtue,1
fond,adj,S,no,CareVirtue,1
fondness,n,H,no,CareVirtue,1
fondnesses,n,H,no,CareVirtue,1
forethought,n,S,no,CareVirtue,1
forethoughts,n,S,no,CareVirtue,1
fortify,v,H,yes,CareVirtue,1
friendliness,n,H,no,CareVirtue,1
friendlinesses,n,H,no,CareVirtue,1
gain,v,S,yes,CareVirtue,1
give care,v,S,yes,CareVirtue,1
giving protection,adv,S,no,CareVirtue,1
good-hearted,adj,S,no,CareVirtue,1
goodness,n,H,no,CareVirtue,1
goodnesses,n,H,no,CareVirtue,1
guarantee,v,S,yes,CareVirtue,1
guarantee,n,H,no,CareVirtue,1
guarantees,n,H,no,CareVirtue,1
guard,n,S,no,CareVirtue,1
guard,v,S,yes,CareVirtue,1
guard duties,n,S,no,CareVirtue,1
guard duty,n,S,no,CareVirtue,1
guarded,adj,O,no,CareVirtue,1
guardedly,adv,O,no,CareVirtue,1
